               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 151,             0.09074,             0.15202,            0.022519,             0.46321,             0.34582,             0.34588,             0.19197,            0.088816,             0.22121,            0.029049,             0.00505,             0.00505,             0.00505
                 152,            0.090668,             0.15183,            0.022681,             0.46197,             0.34611,             0.34622,             0.19201,            0.088813,             0.22122,            0.029049,            0.005017,            0.005017,            0.005017
                 153,            0.091031,             0.15324,            0.022513,             0.46254,             0.34623,             0.34641,             0.19213,            0.088807,             0.22123,            0.029042,            0.004984,            0.004984,            0.004984
                 154,            0.090881,             0.15104,            0.022677,              0.4631,             0.34595,             0.34685,             0.19246,            0.088804,             0.22126,            0.029034,            0.004951,            0.004951,            0.004951
                 155,            0.090528,             0.15075,            0.022547,             0.46217,             0.34806,             0.34714,              0.1925,              0.0888,             0.22129,             0.02903,            0.004918,            0.004918,            0.004918
                 156,            0.090829,             0.15155,            0.022449,             0.46052,             0.34839,              0.3468,             0.19252,              0.0888,              0.2213,            0.029028,            0.004885,            0.004885,            0.004885
                 157,            0.090573,             0.15236,            0.022573,             0.46089,             0.34806,             0.34689,             0.19264,            0.088798,              0.2213,            0.029025,            0.004852,            0.004852,            0.004852
                 158,            0.090568,              0.1507,            0.022428,             0.46051,             0.34856,              0.3467,             0.19237,            0.088794,             0.22131,            0.029021,            0.004819,            0.004819,            0.004819
                 159,            0.090881,             0.15157,            0.022405,             0.46056,              0.3477,             0.34702,             0.19239,            0.088789,             0.22131,            0.029021,            0.004786,            0.004786,            0.004786
                 160,            0.090737,             0.15124,            0.022502,             0.46121,             0.34714,             0.34691,             0.19237,            0.088785,             0.22132,            0.029022,            0.004753,            0.004753,            0.004753
                 161,            0.090493,              0.1513,            0.022566,             0.45985,              0.3481,             0.34686,             0.19234,            0.088781,             0.22132,            0.029022,             0.00472,             0.00472,             0.00472
                 162,            0.090634,             0.15169,            0.022428,             0.45938,             0.34805,              0.3468,             0.19237,            0.088778,             0.22132,            0.029021,            0.004687,            0.004687,            0.004687
